numero_ocorrencia_associado;ano_fato;mes_numerico_fato;boa;buracos;material_na_pista;ondulada;outras_no_historico;rachadura;sulcos_horizontais;verificacao
3fe3cefb638331c5;2023;12;Sim;Não;Não;Não;Não;Não;Não;3fe3cefb638331c5-Sim-Não-Não-Não-Não-Não-Não
33a4a6f25c8c2b08;2023;8;Sim;Não;Não;Não;Não;Não;Não;33a4a6f25c8c2b08-Sim-Não-Não-Não-Não-Não-Não
8b963a70f50b8ec6;2023;8;Sim;Não;Não;Não;Não;Não;Não;8b963a70f50b8ec6-Sim-Não-Não-Não-Não-Não-Não
3b50e7f204314ec1;2023;11;Sim;Não;Não;Não;Não;Não;Não;3b50e7f204314ec1-Sim-Não-Não-Não-Não-Não-Não
d1b48522841ba2a2;2023;6;Sim;Não;Não;Não;Não;Não;Não;d1b48522841ba2a2-Sim-Não-Não-Não-Não-Não-Não
046fb9d0bd5917fe;2023;6;Sim;Não;Não;Não;Não;Não;Não;046fb9d0bd5917fe-Sim-Não-Não-Não-Não-Não-Não
a1a316308ab4676a;2023;6;Sim;Não;Não;Não;Não;Não;Não;a1a316308ab4676a-Sim-Não-Não-Não-Não-Não-Não
20537404042896f6;2023;6;Sim;Não;Não;Não;Não;Não;Não;20537404042896f6-Sim-Não-Não-Não-Não-Não-Não
dc231149387a2f0e;2023;4;Sim;Não;Não;Não;Não;Não;Não;dc231149387a2f0e-Sim-Não-Não-Não-Não-Não-Não
373088cb4aa0f6ab;2023;3;Não;Não;Não;Não;Sim;Não;Não;373088cb4aa0f6ab-Não-Não-Não-Não-Sim-Não-Não
403375137ec4ac1d;2023;4;Sim;Não;Não;Não;Não;Não;Não;403375137ec4ac1d-Sim-Não-Não-Não-Não-Não-Não
3f47c055a978370b;2023;11;Sim;Não;Não;Não;Não;Não;Não;3f47c055a978370b-Sim-Não-Não-Não-Não-Não-Não
4457ad259b54e93f;2023;11;Sim;Não;Não;Não;Não;Não;Não;4457ad259b54e93f-Sim-Não-Não-Não-Não-Não-Não
cdd93142d498df77;2023;11;Sim;Não;Não;Não;Não;Não;Não;cdd93142d498df77-Sim-Não-Não-Não-Não-Não-Não
0439f3157fab3e96;2023;4;Sim;Não;Não;Não;Não;Não;Não;0439f3157fab3e96-Sim-Não-Não-Não-Não-Não-Não
9f8147ef95518147;2023;11;Sim;Não;Não;Não;Não;Não;Não;9f8147ef95518147-Sim-Não-Não-Não-Não-Não-Não
322f0ed41b3a4a88;2023;11;Sim;Não;Não;Não;Não;Não;Não;322f0ed41b3a4a88-Sim-Não-Não-Não-Não-Não-Não
cf9f377f1585513a;2023;2;Não;Sim;Não;Não;Não;Não;Não;cf9f377f1585513a-Não-Sim-Não-Não-Não-Não-Não
e9a2ee26f092f4dd;2023;2;Sim;Não;Não;Não;Não;Não;Não;e9a2ee26f092f4dd-Sim-Não-Não-Não-Não-Não-Não
76a463d8ee4b2eca;2023;2;Sim;Não;Não;Não;Não;Não;Não;76a463d8ee4b2eca-Sim-Não-Não-Não-Não-Não-Não
be8f501b5ec52d47;2023;2;Sim;Não;Não;Não;Não;Não;Não;be8f501b5ec52d47-Sim-Não-Não-Não-Não-Não-Não
e92839738e401971;2023;2;Sim;Não;Não;Não;Não;Não;Não;e92839738e401971-Sim-Não-Não-Não-Não-Não-Não
8d1e14e12bcc12b3;2023;12;Não;Não;Não;Sim;Não;Não;Não;8d1e14e12bcc12b3-Não-Não-Não-Sim-Não-Não-Não
a1e64a6791c26417;2023;12;Sim;Não;Não;Não;Não;Não;Não;a1e64a6791c26417-Sim-Não-Não-Não-Não-Não-Não
a3625cb57192954a;2023;12;Sim;Não;Não;Não;Não;Não;Não;a3625cb57192954a-Sim-Não-Não-Não-Não-Não-Não
1a2b2a80c1cfd316;2023;6;Sim;Não;Não;Não;Não;Não;Não;1a2b2a80c1cfd316-Sim-Não-Não-Não-Não-Não-Não
7179298386acfd5a;2023;1;Sim;Não;Não;Não;Não;Não;Não;7179298386acfd5a-Sim-Não-Não-Não-Não-Não-Não
8e49cd3ccabfe1b0;2023;9;Não;Sim;Não;Sim;Não;Sim;Não;8e49cd3ccabfe1b0-Não-Sim-Não-Sim-Não-Sim-Não
49fa5e15442ea50e;2023;1;Sim;Não;Não;Não;Não;Não;Não;49fa5e15442ea50e-Sim-Não-Não-Não-Não-Não-Não
eb6576186baaec1c;2023;1;Sim;Não;Não;Não;Não;Não;Não;eb6576186baaec1c-Sim-Não-Não-Não-Não-Não-Não
c3e9beeab6df6df5;2023;5;Não;Não;Não;Não;Sim;Não;Não;c3e9beeab6df6df5-Não-Não-Não-Não-Sim-Não-Não
0d6abae6411ac38e;2023;10;Sim;Não;Não;Não;Não;Não;Não;0d6abae6411ac38e-Sim-Não-Não-Não-Não-Não-Não
1a4358656fe11b5b;2023;10;Sim;Não;Não;Não;Não;Não;Não;1a4358656fe11b5b-Sim-Não-Não-Não-Não-Não-Não
1b85d32ad98bc067;2023;10;Sim;Não;Não;Não;Não;Não;Não;1b85d32ad98bc067-Sim-Não-Não-Não-Não-Não-Não
6d0856ac284a0435;2023;10;Sim;Não;Não;Não;Não;Não;Não;6d0856ac284a0435-Sim-Não-Não-Não-Não-Não-Não
66626a932c492e86;2023;2;Sim;Não;Não;Não;Não;Não;Não;66626a932c492e86-Sim-Não-Não-Não-Não-Não-Não
dd811b762f294165;2023;7;Sim;Não;Não;Não;Não;Não;Não;dd811b762f294165-Sim-Não-Não-Não-Não-Não-Não
70fd6a87013a42d4;2023;7;Não;Não;Não;Não;Sim;Não;Não;70fd6a87013a42d4-Não-Não-Não-Não-Sim-Não-Não
583258505820863a;2023;7;Sim;Não;Não;Não;Não;Não;Não;583258505820863a-Sim-Não-Não-Não-Não-Não-Não
37e3492e1b35f78f;2023;7;Sim;Não;Não;Não;Não;Não;Não;37e3492e1b35f78f-Sim-Não-Não-Não-Não-Não-Não
9bbb0d5085b52072;2023;10;Sim;Não;Não;Não;Não;Não;Não;9bbb0d5085b52072-Sim-Não-Não-Não-Não-Não-Não
df1bda43aeb7752e;2023;10;Sim;Não;Não;Não;Não;Não;Não;df1bda43aeb7752e-Sim-Não-Não-Não-Não-Não-Não
